City	Population	LGA2013	LGA2014	Difference	%Chg	LGApercapita	IncreasePercapita
Deer Creek 	322	$57,092	$66,318	$9,226	16.16%	$205.96	$28.65
Deer River 	930	$281,538	$308,880	$27,342	9.71%	$332.13	$29.40
Deerwood 	532	$2,495	$10,833	$8,338	334.19%	$20.36	$15.67
De Graff 	115	$24,544	$24,544	$0	0.00%	$213.43	$0.00
Delano 	5,464	$0	$177,705	$177,705	0.00%	$32.52	$32.52
Delavan 	179	$48,781	$48,781	$0	0.00%	$272.52	$0.00
Delhi 	70	$15,650	$15,650	$0	0.00%	$223.57	$0.00
Dellwood 	1,063	$0	$0	$0	0.00%	$0.00	$0.00
Denham 	35	$234	$234	$0	0.00%	$6.69	$0.00
Dennison 	212	$8,798	$10,617	$1,819	20.68%	$50.08	$8.58
Dent 	192	$41,956	$44,787	$2,831	6.75%	$233.27	$14.74
Detroit Lakes 	8,569	$690,536	$782,188	$91,652	13.27%	$91.28	$10.70
Dexter 	341	$70,342	$72,139	$1,797	2.55%	$211.55	$5.27
Dilworth 	4,024	$493,847	$603,809	$109,962	22.27%	$150.05	$27.33
Dodge Center 	2,670	$624,915	$682,359	$57,444	9.19%	$255.57	$21.51
Donaldson 	42	$4,638	$4,844	$206	4.44%	$115.33	$4.90
Donnelly 	241	$50,497	$54,194	$3,697	7.32%	$224.87	$15.34
Doran 	55	$12,030	$13,133	$1,103	9.17%	$238.78	$20.05
Dover 	735	$93,649	$129,014	$35,365	37.76%	$175.53	$48.12
Dovray 	57	$13,705	$13,705	$0	0.00%	$240.44	$0.00
Duluth 	86,265	$27,437,478	$29,030,643	$1,593,165	5.81%	$336.53	$18.47
Dumont 	100	$19,699	$19,699	$0	0.00%	$196.99	$0.00
Dundas 	1,367	$87,420	$149,684	$62,264	71.22%	$109.50	$45.55
Dundee 	68	$21,200	$21,200	$0	0.00%	$311.76	$0.00
Dunnell 	167	$61,112	$61,112	$0	0.00%	$365.94	$0.00
Eagan 	64,206	$0	$0	$0	0.00%	$0.00	$0.00
