City,yr2013,yr2014,Difference,PctChg,GEO.display-label,Population,PopHuman,GEO.id,GEO.id2,2014pclga,2014pcincrease,m2013,m2014,mdifference,mpctchg,mpclga,mpcincrease
BROOKSTON,"$6,665.00","$11,105.00","$4,440.00",66.62%,Brookston ,141,141,1600000US2708056,2708056,$78.76,$31.49,6665,11105,4440,.6662,78.76,31.49
BROOTEN,"$138,694.00","$170,026.00","$31,332.00",22.59%,Brooten ,743,743,1600000US2708092,2708092,$228.84,$42.17,138694,170026,31332,.2259,228.84,42.17
BROWERVILLE,"$206,697.00","$237,344.00","$30,647.00",14.83%,Browerville ,790,790,1600000US2708110,2708110,$300.44,$38.79,206697,237344,30647,.1483,300.44,38.79
BROWNS VALLEY,"$357,430.00","$357,430.00",$0.00,0.00%,Browns Valley ,589,589,1600000US2708200,2708200,$606.84,$0.00,357430,357430,0,.0000,606.84,0.00
BROWNSDALE,"$168,304.00","$199,429.00","$31,125.00",18.49%,Brownsdale ,676,676,1600000US2708164,2708164,$295.01,$46.04,168304,199429,31125,.1849,295.01,46.04
BROWNSVILLE,"$58,162.00","$65,698.00","$7,536.00",12.96%,Brownsville ,466,466,1600000US2708218,2708218,$140.98,$16.17,58162,65698,7536,.1296,140.98,16.17
BROWNTON,"$230,476.00","$264,771.00","$34,295.00",14.88%,Brownton ,762,762,1600000US2708254,2708254,$347.47,$45.01,230476,264771,34295,.1488,347.47,45.01
BRUNO,"$17,945.00","$18,404.00",$459.00,2.56%,Bruno ,102,102,1600000US2708290,2708290,$180.43,$4.50,17945,18404,459,.0256,180.43,4.50
BUCKMAN,"$18,509.00","$28,599.00","$10,090.00",54.51%,Buckman ,270,270,1600000US2708416,2708416,$105.92,$37.37,18509,28599,10090,.5451,105.92,37.37
BUFFALO,"$145,886.00","$636,274.00","$490,388.00",336.14%,Buffalo ,15453,"15,453",1600000US2708452,2708452,$41.17,$31.73,145886,636274,490388,3.3614,41.17,31.73
BUFFALO LAKE,"$203,623.00","$225,546.00","$21,923.00",10.77%,Buffalo Lake ,733,733,1600000US2708488,2708488,$307.70,$29.91,203623,225546,21923,.1077,307.70,29.91
BUHL,"$326,569.00","$354,763.00","$28,194.00",8.63%,Buhl ,1000,"1,000",1600000US2708524,2708524,$354.76,$28.19,326569,354763,28194,.0863,354.76,28.19
BURNSVILLE,$0.00,"$85,830.00","$85,830.00",0.00%,Burnsville ,60306,"60,306",1600000US2708794,2708794,$1.42,$1.42,0,85830,85830,.0000,1.42,1.42
BURTRUM,"$27,162.00","$31,076.00","$3,914.00",14.41%,Burtrum ,144,144,1600000US2708902,2708902,$215.81,$27.18,27162,31076,3914,.1441,215.81,27.18
BUTTERFIELD,"$160,498.00","$187,036.00","$26,538.00",16.53%,Butterfield ,586,586,1600000US2708992,2708992,$319.17,$45.29,160498,187036,26538,.1653,319.17,45.29
BYRON,"$136,035.00","$257,070.00","$121,035.00",88.97%,Byron ,4914,"4,914",1600000US2709154,2709154,$52.31,$24.63,136035,257070,121035,.8897,52.31,24.63
CALEDONIA,"$832,011.00","$940,255.00","$108,244.00",13.01%,Caledonia ,2868,"2,868",1600000US2709226,2709226,$327.84,$37.74,832011,940255,108244,.1301,327.84,37.74
CALLAWAY,"$34,220.00","$41,903.00","$7,683.00",22.45%,Callaway ,234,234,1600000US2709280,2709280,$179.07,$32.83,34220,41903,7683,.2245,179.07,32.83
CALUMET,"$118,691.00","$120,051.00","$1,360.00",1.15%,Calumet ,367,367,1600000US2709316,2709316,$327.11,$3.71,118691,120051,1360,.0115,327.11,3.71
CAMBRIDGE,"$426,004.00","$689,437.00","$263,433.00",61.84%,Cambridge ,8111,"8,111",1600000US2709370,2709370,$85.00,$32.48,426004,689437,263433,.6184,85.00,32.48
CAMPBELL,"$58,644.00","$58,644.00",$0.00,0.00%,Campbell ,158,158,1600000US2709496,2709496,$371.16,$0.00,58644,58644,0,.0000,371.16,0.00
CANBY,"$664,915.00","$702,407.00","$37,492.00",5.64%,Canby ,1795,"1,795",1600000US2709604,2709604,$391.31,$20.89,664915,702407,37492,.0564,391.31,20.89
CANNON FALLS,"$469,740.00","$616,525.00","$146,785.00",31.25%,Cannon Falls ,4083,"4,083",1600000US2709730,2709730,$151.00,$35.95,469740,616525,146785,.3125,151.00,35.95
CANTON,"$78,420.00","$86,600.00","$8,180.00",10.43%,Canton ,346,346,1600000US2709802,2709802,$250.29,$23.64,78420,86600,8180,.1043,250.29,23.64
CARLOS,"$47,513.00","$71,455.00","$23,942.00",50.39%,Carlos ,502,502,1600000US2709964,2709964,$142.34,$47.69,47513,71455,23942,.5039,142.34,47.69
CARLTON,"$226,274.00","$251,384.00","$25,110.00",11.10%,Carlton ,862,862,1600000US2710018,2710018,$291.63,$29.13,226274,251384,25110,.1110,291.63,29.13
CARVER,"$40,299.00","$68,065.00","$27,766.00",68.90%,Carver ,3724,"3,724",1600000US2710144,2710144,$18.28,$7.46,40299,68065,27766,.6890,18.28,7.46
CASS LAKE,"$411,951.00","$411,951.00",$0.00,0.00%,Cass Lake ,770,770,1600000US2710252,2710252,$535.00,$0.00,411951,411951,0,.0000,535.00,0.00
CEDAR MILLS,"$5,968.00","$6,378.00",$410.00,6.87%,Cedar Mills ,45,45,1600000US2710468,2710468,$141.73,$9.11,5968,6378,410,.0687,141.73,9.11
CENTER CITY,"$26,951.00","$37,283.00","$10,332.00",38.34%,Center City ,628,628,1600000US2710576,2710576,$59.37,$16.45,26951,37283,10332,.3834,59.37,16.45
CENTERVILLE,$0.00,"$53,444.00","$53,444.00",0.00%,Centerville ,3792,"3,792",1600000US2710648,2710648,$14.09,$14.09,0,53444,53444,.0000,14.09,14.09
CEYLON,"$127,725.00","$133,908.00","$6,183.00",4.84%,Ceylon ,369,369,1600000US2710792,2710792,$362.89,$16.76,127725,133908,6183,.0484,362.89,16.76
CHAMPLIN,$0.00,"$237,533.00","$237,533.00",0.00%,Champlin ,23089,"23,089",1600000US2710846,2710846,$10.29,$10.29,0,237533,237533,.0000,10.29,10.29
