City;$2,013;$2,014;Difference;%Chg;GEO.display-label;Pophuman;Population;GEO.id;GEO.id2;2014pclga;2014pcincrease
BUFFALO LAKE;$203,623;$225,546;$21,923;10.77%;Buffalo Lake ;733;733;1600000US2708488;2708488;$307.70;$29.91
BUHL;$326,569;$354,763;$28,194;8.63%;Buhl ;1,000;1000;1600000US2708524;2708524;$354.76;$28.19
BURNSVILLE;$0;$85,830;$85,830;0.00%;Burnsville ;60,306;60306;1600000US2708794;2708794;$1.42;$1.42
BURTRUM;$27,162;$31,076;$3,914;14.41%;Burtrum ;144;144;1600000US2708902;2708902;$215.81;$27.18
BUTTERFIELD;$160,498;$187,036;$26,538;16.53%;Butterfield ;586;586;1600000US2708992;2708992;$319.17;$45.29
BYRON;$136,035;$257,070;$121,035;88.97%;Byron ;4,914;4914;1600000US2709154;2709154;$52.31;$24.63
CALEDONIA;$832,011;$940,255;$108,244;13.01%;Caledonia ;2,868;2868;1600000US2709226;2709226;$327.84;$37.74
CALLAWAY;$34,220;$41,903;$7,683;22.45%;Callaway ;234;234;1600000US2709280;2709280;$179.07;$32.83
CALUMET;$118,691;$120,051;$1,360;1.15%;Calumet ;367;367;1600000US2709316;2709316;$327.11;$3.71
CAMBRIDGE;$426,004;$689,437;$263,433;61.84%;Cambridge ;8,111;8111;1600000US2709370;2709370;$85.00;$32.48
CAMPBELL;$58,644;$58,644;$0;0.00%;Campbell ;158;158;1600000US2709496;2709496;$371.16;$0.00
CANBY;$664,915;$702,407;$37,492;5.64%;Canby ;1,795;1795;1600000US2709604;2709604;$391.31;$20.89
CANNON FALLS;$469,740;$616,525;$146,785;31.25%;Cannon Falls ;4,083;4083;1600000US2709730;2709730;$151.00;$35.95
CANTON;$78,420;$86,600;$8,180;10.43%;Canton ;346;346;1600000US2709802;2709802;$250.29;$23.64
CARLOS;$47,513;$71,455;$23,942;50.39%;Carlos ;502;502;1600000US2709964;2709964;$142.34;$47.69
CARLTON;$226,274;$251,384;$25,110;11.10%;Carlton ;862;862;1600000US2710018;2710018;$291.63;$29.13
CARVER;$40,299;$68,065;$27,766;68.90%;Carver ;3,724;3724;1600000US2710144;2710144;$18.28;$7.46
CASS LAKE;$411,951;$411,951;$0;0.00%;Cass Lake ;770;770;1600000US2710252;2710252;$535.00;$0.00
CEDAR MILLS;$5,968;$6,378;$410;6.87%;Cedar Mills ;45;45;1600000US2710468;2710468;$141.73;$9.11
CENTER CITY;$26,951;$37,283;$10,332;38.34%;Center City ;628;628;1600000US2710576;2710576;$59.37;$16.45
CENTERVILLE;$0;$53,444;$53,444;0.00%;Centerville ;3,792;3792;1600000US2710648;2710648;$14.09;$14.09
CEYLON;$127,725;$133,908;$6,183;4.84%;Ceylon ;369;369;1600000US2710792;2710792;$362.89;$16.76
CHAMPLIN;$0;$237,533;$237,533;0.00%;Champlin ;23,089;23089;1600000US2710846;2710846;$10.29;$10.29
CHANDLER;$68,662;$68,662;$0;0.00%;Chandler ;270;270;1600000US2710900;2710900;$254.30;$0.00
CHANHASSEN;$0;$0;$0;0.00%;Chanhassen ;22,952;22952;1600000US2710918;2710918;$0.00;$0.00
CHASKA;$37,441;$462,669;$425,228;1135.73%;Chaska ;23,770;23770;1600000US2710972;2710972;$19.46;$17.89
CHATFIELD;$666,960;$751,023;$84,063;12.60%;Chatfield ;2,779;2779;1600000US2711008;2711008;$270.25;$30.25
CHICKAMAW BEACH;$0;$0;$0;0.00%;Chickamaw Beach ;114;114;1600000US2711296;2711296;$0.00;$0.00
CHISAGO CITY;$0;$122,931;$122,931;0.00%;Chisago City ;4,967;4967;1600000US2711350;2711350;$24.75;$24.75
CHISHOLM;$2,711,002;$3,058,095;$347,093;12.80%;Chisholm ;4,976;4976;1600000US2711386;2711386;$614.57;$69.75
CHOKIO;$119,050;$125,027;$5,977;5.02%;Chokio ;400;400;1600000US2711440;2711440;$312.57;$14.94
CIRCLE PINES;$152,142;$314,429;$162,287;106.67%;Circle Pines ;4,918;4918;1600000US2711494;2711494;$63.93;$33.00
