GEO.id,GEO.id2,GEO.display-label,D001
1600000US2719088,2719088,"Elrosa city, Minnesota",211
1600000US2719142,2719142,"Ely city, Minnesota",3460
1600000US2719160,2719160,"Elysian city, Minnesota",652
1600000US2719286,2719286,"Emily city, Minnesota",813
1600000US2719340,2719340,"Emmons city, Minnesota",391
1600000US2719556,2719556,"Erhard city, Minnesota",148
1600000US2719700,2719700,"Erskine city, Minnesota",503
1600000US2719718,2719718,"Esko CDP, Minnesota",1869
1600000US2719880,2719880,"Evan city, Minnesota",86
1600000US2719898,2719898,"Evansville city, Minnesota",612
1600000US2719934,2719934,"Eveleth city, Minnesota",3718
1600000US2720078,2720078,"Excelsior city, Minnesota",2188
1600000US2720114,2720114,"Eyota city, Minnesota",1977
1600000US2720222,2720222,"Fairfax city, Minnesota",1235
1600000US2720276,2720276,"Fairhaven CDP, Minnesota",358
1600000US2720330,2720330,"Fairmont city, Minnesota",10666
1600000US2720420,2720420,"Falcon Heights city, Minnesota",5321
1600000US2720546,2720546,"Faribault city, Minnesota",23352
1600000US2720618,2720618,"Farmington city, Minnesota",21086
1600000US2720690,2720690,"Farwell city, Minnesota",51
1600000US2720798,2720798,"Federal Dam city, Minnesota",110
1600000US2720834,2720834,"Felton city, Minnesota",177
1600000US2720906,2720906,"Fergus Falls city, Minnesota",13138
1600000US2720978,2720978,"Fertile city, Minnesota",842
1600000US2721032,2721032,"Fifty Lakes city, Minnesota",387
1600000US2721104,2721104,"Finland CDP, Minnesota",195
1600000US2721122,2721122,"Finlayson city, Minnesota",315
1600000US2721158,2721158,"Fisher city, Minnesota",435
1600000US2721190,2721190,"Fish Lake CDP, Minnesota",51
1600000US2721266,2721266,"Flensburg city, Minnesota",225
1600000US2721338,2721338,"Floodwood city, Minnesota",528
1600000US2721410,2721410,"Florence city, Minnesota",39
1600000US2721536,2721536,"Foley city, Minnesota",2603
1600000US2721608,2721608,"Forada city, Minnesota",185
1600000US2721770,2721770,"Forest Lake city, Minnesota",18375(r23795)
1600000US2721824,2721824,"Foreston city, Minnesota",533
1600000US2721932,2721932,"Fort Ripley city, Minnesota",69
1600000US2721986,2721986,"Fosston city, Minnesota",1527
1600000US2722094,2722094,"Fountain city, Minnesota",410
1600000US2722202,2722202,"Foxhome city, Minnesota",116
1600000US2722364,2722364,"Franklin city, Minnesota",510
1600000US2722472,2722472,"Frazee city, Minnesota",1350
1600000US2722526,2722526,"Freeborn city, Minnesota",297
1600000US2722652,2722652,"Freeport city, Minnesota",632
1600000US2722814,2722814,"Fridley city, Minnesota",27208
